,track_genre
17096,club
23506,deep-house
21993,dancehall
20083,dance
4941,ambient
105626,study
36640,french
42475,grindcore
69079,malay
36496,french
82452,power-pop
52457,honky-tonk
61735,j-idol
54895,idm
113967,world-music
65474,k-pop
26918,disney
39690,german
50782,heavy-metal
85324,punk-rock
59228,iranian
35018,forro
21692,dancehall
113549,world-music
13565,chicago-house
11686,british
111841,trip-hop
22827,death-metal
10757,breakbeat
107753,synth-pop
96422,samba
41577,goth
85612,punk-rock
77405,pagode
18432,comedy
10167,breakbeat
45372,guitar
113666,world-music
894,acoustic
92445,rockabilly
26749,disney
83338,progressive-house
46691,happy
22029,death-metal
73683,minimal-techno
59928,iranian
94859,sad
10238,breakbeat
341,acoustic
62038,j-pop
66656,kids
26698,disney
110632,trance
17371,club
96628,samba
16717,classical
40605,gospel
43841,groove
112276,turkish
112552,turkish
101590,sleep
31674,electro
45753,guitar
56467,indie-pop
68740,latino
97404,sertanejo
42468,grindcore
12321,cantopop
54868,idm
61252,j-idol
111210,trip-hop
6961,black-metal
38023,garage
98655,show-tunes
98729,show-tunes
2489,alt-rock
1597,afrobeat
65666,k-pop
110518,trance
108009,tango
5088,anime
107781,synth-pop
41733,goth
78807,party
63548,j-rock
65822,k-pop
22834,death-metal
97939,sertanejo
41985,goth
35936,forro
104482,spanish
46207,happy
21968,dancehall
93237,romance
65421,k-pop
70735,mandopop
48555,hardcore
58581,industrial
18303,comedy
38545,garage
7400,bluegrass
15252,chill
14553,children
12443,cantopop
10455,breakbeat
9104,brazil
76171,opera
9691,brazil
78206,party
4274,ambient
75879,new-age
89909,reggaeton
82417,power-pop
58738,industrial
15881,chill
46278,happy
58097,industrial
101698,sleep
104978,spanish
35532,forro
77665,pagode
36320,french
50915,heavy-metal
110415,trance
98092,show-tunes
15379,chill
19941,country
71794,metal
59115,iranian
14483,children
75136,new-age
10529,breakbeat
17208,club
65989,k-pop
34334,folk
25519,disco
49309,hardstyle
97515,sertanejo
68619,latino
17369,club
61829,j-idol
655,acoustic
77230,pagode
25076,disco
28358,dub
14998,children
52569,honky-tonk
107508,synth-pop
93697,romance
98931,show-tunes
35157,forro
69097,malay
90216,rock-n-roll
46749,happy
41163,goth
46778,happy
70745,mandopop
92900,rockabilly
76491,opera
81073,pop
65475,k-pop
67559,latin
101975,sleep
28958,dub
35302,forro
6357,black-metal
108274,tango
65954,k-pop
9128,brazil
54693,idm
74469,mpb
58080,industrial
50476,heavy-metal
18914,comedy
105342,study
41219,goth
104748,spanish
90820,rock-n-roll
83562,progressive-house
73893,minimal-techno
24990,detroit-techno
75497,new-age
55706,indian
108820,tango
15712,chill
75181,new-age
97108,sertanejo
56868,indie-pop
37936,funk
89833,reggaeton
84188,psych-rock
52681,honky-tonk
67604,latin
61185,j-idol
33583,emo
75991,new-age
69648,malay
25301,disco
6751,black-metal
96250,samba
11865,british
71423,metal
35825,forro
7557,bluegrass
59401,iranian
26791,disney
112945,turkish
111073,trip-hop
8718,blues
84673,psych-rock
48114,hardcore
99183,singer-songwriter
70973,mandopop
76308,opera
18405,comedy
33946,emo
4476,ambient
112409,turkish
15476,chill
24943,detroit-techno
97235,sertanejo
60564,j-dance
60420,j-dance
49051,hardstyle
31981,electro
12487,cantopop
112302,turkish
49319,hardstyle
77086,pagode
75200,new-age
113695,world-music
91023,rock
66699,kids
72758,metalcore
111989,trip-hop
83202,progressive-house
21357,dancehall
105231,study
106930,swedish
51985,hip-hop
111712,trip-hop
10292,breakbeat
27483,drum-and-bass
80751,pop-film
72746,metalcore
14284,children
7067,bluegrass
12036,cantopop
66756,kids
86446,punk
13183,chicago-house
80962,pop-film
463,acoustic
23139,deep-house
52979,honky-tonk
65229,k-pop
55718,indian
6902,black-metal
79475,piano
112254,turkish
59349,iranian
5243,anime
101138,sleep
100844,ska
101884,sleep
80138,pop-film
45743,guitar
75234,new-age
2583,alt-rock
98701,show-tunes
4704,ambient
96485,samba
77164,pagode
107736,synth-pop
14899,children
97700,sertanejo
46405,happy
25271,disco
22972,death-metal
62378,j-pop
5667,anime
101495,sleep
110326,trance
26622,disney
66480,kids
104485,spanish
16893,classical
37427,funk
34362,folk
42583,grindcore
25788,disco
924,acoustic
14496,children
60938,j-dance
49675,hardstyle
65437,k-pop
65641,k-pop
24994,detroit-techno
21327,dancehall
18358,comedy
51388,hip-hop
21760,dancehall
36121,french
44412,grunge
101700,sleep
46972,happy
5131,anime
12458,cantopop
25435,disco
14279,children
55545,indian
81409,pop
9969,brazil
32952,electronic
104073,spanish
65799,k-pop
51467,hip-hop
19385,country
108937,tango
55901,indian
93930,romance
96394,samba
1508,afrobeat
72478,metalcore
35293,forro
41677,goth
105537,study
25618,disco
48743,hardcore
13725,chicago-house
99819,singer-songwriter
97825,sertanejo
93907,romance
50746,heavy-metal
61255,j-idol
616,acoustic
10642,breakbeat
24781,detroit-techno
11054,british
81118,pop
97973,sertanejo
50405,heavy-metal
5314,anime
70246,mandopop
4536,ambient
5342,anime
52621,honky-tonk
26395,disney
41824,goth
30206,edm
11671,british
74484,mpb
73927,minimal-techno
5578,anime
42863,grindcore
47795,hard-rock
66098,kids
41822,goth
69356,malay
13339,chicago-house
76482,opera
108391,tango
12298,cantopop
12407,cantopop
108590,tango
52689,honky-tonk
79935,piano
101705,sleep
39759,german
55197,indian
12489,cantopop
65149,k-pop
11469,british
51234,hip-hop
52456,honky-tonk
97122,sertanejo
92999,rockabilly
49804,hardstyle
37351,funk
76443,opera
105057,study
107739,synth-pop
13810,chicago-house
91065,rock
108150,tango
109268,techno
112027,turkish
33638,emo
27795,drum-and-bass
98917,show-tunes
45619,guitar
84919,psych-rock
86002,punk
92506,rockabilly
28273,dub
101200,sleep
14946,children
39903,german
14046,children
87742,r-n-b
77045,pagode
105164,study
95160,salsa
24511,detroit-techno
46614,happy
93967,romance
29763,dubstep
75848,new-age
74111,mpb
6914,black-metal
84609,psych-rock
19044,country
47736,hard-rock
74553,mpb
7246,bluegrass
18541,comedy
38520,garage
14947,children
93839,romance
72571,metalcore
83361,progressive-house
13857,chicago-house
104120,spanish
99566,singer-songwriter
69685,malay
5312,anime
90460,rock-n-roll
94055,sad
33604,emo
34935,folk
50171,heavy-metal
14935,children
8455,blues
17830,club
74381,mpb
70700,mandopop
48817,hardcore
72398,metalcore
19601,country
26133,disney
26559,disney
99805,singer-songwriter
17836,club
18703,comedy
77276,pagode
84698,psych-rock
65466,k-pop
22780,death-metal
45333,guitar
112981,turkish
2032,alt-rock
48810,hardcore
40843,gospel
43769,groove
34997,folk
70656,mandopop
10923,breakbeat
97718,sertanejo
41054,goth
65292,k-pop
34838,folk
112906,turkish
104840,spanish
69770,malay
6609,black-metal
112580,turkish
8809,blues
38837,garage
92642,rockabilly
36633,french
35517,forro
41879,goth
97553,sertanejo
50314,heavy-metal
38610,garage
46653,happy
45546,guitar
41788,goth
101352,sleep
96346,samba
113002,world-music
12750,cantopop
63393,j-rock
23690,deep-house
11945,british
111479,trip-hop
33942,emo
35223,forro
70462,mandopop
37464,funk
104609,spanish
54015,idm
27124,drum-and-bass
65759,k-pop
72670,metalcore
20713,dance
13826,chicago-house
70948,mandopop
23199,deep-house
47356,hard-rock
108900,tango
16740,classical
82238,power-pop
97354,sertanejo
82716,power-pop
43488,groove
51828,hip-hop
54299,idm
99109,singer-songwriter
26069,disney
66393,kids
8555,blues
67936,latin
63827,j-rock
9031,brazil
96712,samba
73247,minimal-techno
65306,k-pop
79002,piano
97724,sertanejo
104620,spanish
38560,garage
107312,synth-pop
108161,tango
66309,kids
108742,tango
37774,funk
79063,piano
74982,mpb
23267,deep-house
41276,goth
47937,hard-rock
30973,edm
6018,black-metal
76205,opera
27979,drum-and-bass
113631,world-music
1431,afrobeat
62124,j-pop
13082,chicago-house
15143,chill
25180,disco
11964,british
75485,new-age
80043,pop-film
50567,heavy-metal
25970,disco
104859,spanish
113894,world-music
6691,black-metal
50417,heavy-metal
34179,folk
19671,country
33406,emo
18433,comedy
11840,british
106222,swedish
50142,heavy-metal
101630,sleep
6944,black-metal
