,popular
17096,1
23506,1
21993,0
20083,0
4941,0
105626,0
36640,0
42475,0
69079,1
36496,1
82452,1
52457,0
61735,0
54895,0
113967,1
65474,1
26918,0
39690,1
50782,0
85324,1
59228,0
35018,1
21692,0
113549,0
13565,0
11686,1
111841,0
22827,0
10757,0
107753,1
96422,1
41577,0
85612,1
77405,1
18432,0
10167,0
45372,0
113666,1
894,0
92445,0
26749,0
83338,1
46691,0
22029,1
73683,0
59928,0
94859,1
10238,0
341,1
62038,0
66656,0
26698,0
110632,1
17371,1
96628,1
16717,0
40605,1
43841,0
112276,1
112552,1
101590,1
31674,1
45753,0
56467,1
68740,1
97404,1
42468,0
12321,1
54868,0
61252,1
111210,1
6961,0
38023,1
98655,0
98729,0
2489,0
1597,0
65666,1
110518,1
108009,0
5088,1
107781,0
41733,0
78807,0
63548,1
65822,1
22834,0
97939,1
41985,0
35936,1
104482,0
46207,0
21968,0
93237,0
65421,1
70735,0
48555,1
58581,0
18303,0
38545,0
7400,1
15252,1
14553,1
12443,0
10455,1
9104,1
76171,0
9691,1
78206,1
4274,1
75879,0
89909,1
82417,0
58738,0
15881,1
46278,0
58097,0
101698,0
104978,1
35532,1
77665,1
36320,1
50915,0
110415,1
98092,1
15379,1
19941,0
71794,1
59115,0
14483,0
75136,0
10529,0
17208,1
65989,1
34334,1
25519,0
49309,1
97515,1
68619,0
17369,1
61829,0
655,1
77230,1
25076,0
28358,0
14998,0
52569,0
107508,1
93697,0
98931,0
35157,1
69097,1
90216,1
46749,0
41163,0
46778,0
70745,1
92900,1
76491,0
81073,1
65475,1
67559,1
101975,0
28958,1
35302,1
6357,0
108274,0
65954,1
9128,1
54693,0
74469,1
58080,0
50476,0
18914,0
105342,0
41219,0
104748,0
90820,0
83562,1
73893,0
24990,0
75497,0
55706,1
108820,0
15712,1
75181,1
97108,1
56868,1
37936,1
89833,1
84188,1
52681,0
67604,1
61185,0
33583,1
75991,0
69648,0
25301,1
6751,1
96250,0
11865,1
71423,1
35825,1
7557,0
59401,0
26791,0
112945,1
111073,1
8718,1
84673,0
48114,1
99183,1
70973,0
76308,1
18405,0
33946,0
4476,1
112409,1
15476,1
24943,0
97235,1
60564,0
60420,0
49051,1
31981,1
12487,0
112302,1
49319,0
77086,1
75200,1
113695,1
91023,0
66699,0
72758,1
111989,0
83202,1
21357,1
105231,1
106930,0
51985,0
111712,1
10292,0
27483,0
80751,1
72746,0
14284,0
7067,0
12036,1
66756,0
86446,1
13183,0
80962,1
463,1
23139,0
52979,0
65229,1
55718,1
6902,1
79475,0
112254,1
59349,0
5243,1
101138,0
100844,0
101884,0
80138,1
45743,0
75234,0
2583,0
98701,0
4704,1
96485,1
77164,1
107736,0
14899,0
97700,1
46405,0
25271,1
22972,0
62378,1
5667,1
101495,1
110326,0
26622,0
66480,0
104485,1
16893,0
37427,1
34362,1
42583,0
25788,0
924,0
14496,0
60938,0
49675,0
65437,1
65641,1
24994,0
21327,0
18358,0
51388,0
21760,1
